iter	Passed	Remaining
1577	150644	135752
1578	150738	135655
1579	150830	135556
1580	150929	135464
1581	151019	135364
1582	151113	135267
1583	151199	135163
1584	151294	135067
1585	151396	134977
1586	151503	134892
1587	151593	134792
1588	151688	134696
1589	151792	134608
1590	151878	134504
1591	151973	134408
1592	152070	134314
1593	152161	134214
1594	152261	134123
1595	152351	134023
1596	152443	133925
1597	152540	133830
1598	152637	133736
1599	152736	133644
1600	152832	133549
1601	152923	133450
1602	153020	133356
1603	153125	133268
1604	153219	133171
1605	153319	133080
1606	153408	132979
1607	153499	132880
1608	153591	132781
1609	153685	132684
1610	153782	132591
1611	153876	132494
1612	153969	132396
1613	154063	132300
1614	154154	132200
1615	154253	132108
1616	154344	132009
1617	154444	131917
1618	154546	131827
1619	154636	131727
1620	154734	131634
1621	154833	131541
1622	154925	131442
1623	155019	131346
1624	155117	131252
1625	155217	131161
1626	155307	131061
1627	155399	130963
1628	155492	130865
1629	155587	130770
1630	155677	130670
1631	155772	130573
1632	155859	130471
1633	155953	130375
1634	156049	130280
1635	156146	130185
1636	156248	130096
1637	156343	130000
1638	156446	129910
1639	156530	129805
1640	156627	129711
1641	156725	129617
1642	156821	129523
1643	156907	129419
1644	157004	129325
1645	157098	129229
1646	157194	129134
1647	157286	129036
1648	157378	128938
1649	157475	128843
1650	157563	128741
1651	157654	128643
1652	157758	128554
1653	157855	128460
1654	157944	128359
1655	158040	128264
1656	158133	128167
1657	158234	128076
1658	158325	127977
